,rank,id,title,year,rating
211,212,tt0079470,Monty Python's Life of Brian,1979,8.1
212,213,tt0052618,Ben-Hur,1959,8.1
213,214,tt0091763,Platoon,1986,8.1
214,215,tt1979320,Rush,2013,8.1
215,216,tt0097165,Dead Poets Society,1989,8.0
216,217,tt3315342,Logan,2017,8.0
217,218,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.0
218,219,tt0019254,The Passion of Joan of Arc,1928,8.0
219,220,tt0060107,Andrei Rublev,1966,8.0
220,221,tt0053198,The 400 Blows,1959,8.0
221,222,tt0395169,Hotel Rwanda,2004,8.0
222,223,tt0245712,Amores Perros,2000,8.0
223,224,tt4016934,The Handmaiden,2016,8.0
224,225,tt1895587,Spotlight,2015,8.0
225,226,tt0405508,Rang De Basanti,2006,8.0
226,227,tt0087544,Nausicaä of the Valley of the Wind,1984,8.0
227,228,tt0075148,Rocky,1976,8.0
228,229,tt0032976,Rebecca,1940,8.0
229,230,tt0198781,"Monsters, Inc.",2001,8.0
230,231,tt0113247,La Haine,1995,8.0
231,232,tt8613070,Portrait of a Lady on Fire,2019,8.0
232,233,tt0025316,It Happened One Night,1934,8.0
233,234,tt1954470,Gangs of Wasseypur,2012,8.0
234,235,tt0118694,In the Mood for Love,2000,8.0
235,236,tt0381681,Before Sunset,2004,8.0
236,237,tt0087884,"Paris, Texas",1984,8.0
237,238,tt1454029,The Help,2011,8.0
238,239,tt0093779,The Princess Bride,1987,8.0
239,240,tt4857264,The Invisible Guest,2016,8.0
240,241,tt4430212,Drishyam,2015,8.0
241,242,tt0088247,The Terminator,1984,8.0
242,243,tt2758880,Winter Sleep,2014,8.0
243,244,tt0043338,Ace in the Hole,1951,8.0
244,245,tt0064115,Butch Cassidy and the Sundance Kid,1969,8.0
245,246,tt0103639,Aladdin,1992,8.0
246,247,tt0083922,Fanny and Alexander,1982,8.0
